customer_id,age,gender,subscription_type,frequency,days_no_watch,region,device,spend,churn,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre,tenure,sent_slope,sent_avg,micro_risk_score,ott_micro_score,pagerank_score,churn_neighbor_ratio,degree_centrality,churn_score,risk,domain
a9b75100-82a8-427a-a208-72f24052884a,51,Other,Basic,14.73,29,Africa,TV,8.99,1,Gift Card,1,0.49,Action,33,-0.2085848760736706,-0.003180837296425529,0.8300381866418667,0.8300381866418667,0.00878317828314928,0.4139547072004099,0.03804558852358947,92.3,HIGH,OTT
49a5dfd9-7e69-4022-a6ad-0a1b9767fb5b,47,Other,Standard,0.7,19,Europe,Mobile,13.99,1,Gift Card,5,0.03,Sci-Fi,29,-0.6119952318721487,-0.019794356316645972,0.7388855203878302,0.7388855203878302,0.008697722634388533,0.2904368510227247,0.19280802292926813,80.5,HIGH,OTT
4d71f6ce-fca9-4ff7-8afa-197ac24de14b,27,Female,Standard,16.32,10,Asia,TV,13.99,0,Crypto,2,1.48,Drama,9,0.17513535874193714,-0.17866396500217865,0.5102742760980774,0.5102742760980774,0.00829921058905908,0.07840041763175061,0.290744932009533,0.1,LOW,OTT
d3c72c38-631b-4f9e-8a0e-de103cad1a7d,53,Other,Premium,4.51,12,Oceania,TV,17.99,1,Crypto,2,0.35,Horror,35,-0.017830585082635853,0.27139317146233355,0.33008287599623676,0.33008287599623676,0.0033530172527482895,0.5874585135865341,0.16622684288093253,91.9,HIGH,OTT
4e265c34-103a-4dbb-9553-76c9aa47e946,56,Other,Standard,1.89,13,Africa,Mobile,13.99,1,Crypto,2,0.13,Action,38,-0.885310556596151,0.1938584750819037,0.3800665139644902,0.3800665139644902,0.0016947951194657928,0.793488362605195,0.03810460571978556,99.9,HIGH,OTT
d8079475-5be7-47e9-8782-ceb7ff61395e,58,Female,Standard,13.8,26,Oceania,Mobile,13.99,0,Debit Card,3,0.51,Action,40,-0.4406538520586954,-0.5362598793077673,0.8694213781585047,0.8694213781585047,0.00951819202401457,0.3358061915096279,0.18210078830239423,0.4,LOW,OTT
8e63450a-13d6-4e83-bbb5-6aebde9152cb,48,Other,Basic,13.83,20,Asia,TV,8.99,0,Gift Card,5,0.66,Romance,30,-0.011647879049814396,-0.5606103980957432,0.40210612182622985,0.40210612182622985,0.006524125219423917,0.2347529781955381,0.19644527077597554,0.1,LOW,OTT
02387681-8c42-462a-807a-de0168c73b38,51,Male,Basic,14.3,56,Europe,Mobile,8.99,1,Gift Card,1,0.25,Action,33,-0.39487277770307466,0.2698737812823018,0.9284913673531066,0.9284913673531066,0.0010236767826366975,0.4838954291826219,0.08699589981384157,99.9,HIGH,OTT
0bcaad0c-545c-4ee1-85a6-75e165f39361,45,Other,Basic,9.98,10,Asia,Mobile,8.99,0,PayPal,3,0.91,Romance,27,-0.05504034725128664,-0.22611457151781386,0.5188277715008185,0.5188277715008185,0.009193664602592543,0.46776870982762203,0.15012457561764742,0.1,LOW,OTT
eae6439e-8cdf-4258-ab49-c493925b927a,32,Other,Premium,2.22,34,Europe,TV,17.99,1,Debit Card,1,0.06,Drama,14,-0.555913178272074,0.2208164620401296,0.7871739811374883,0.7871739811374883,0.009863231277138,0.6574434241175364,0.1269921870084438,99.9,HIGH,OTT
45a03ce3-26d0-4cd5-a9bd-22d42490b612,26,Male,Premium,15.42,36,Asia,Laptop,17.99,0,Debit Card,4,0.42,Comedy,8,0.21381939245884857,0.4123726312436754,0.7212129707277254,0.7212129707277254,0.003576669437495534,0.4952576716388786,0.02161003042849665,11.9,LOW,OTT
9df43ad1-d6ee-44d0-a79b-c8ab444f10bf,28,Other,Standard,22.26,38,South America,Mobile,13.99,0,Crypto,5,0.57,Horror,10,0.1833375806286845,-0.4083811349622237,0.7113702448403093,0.7113702448403093,0.008322950107350817,0.0806957254252219,0.2192868348131163,0.2,LOW,OTT
4690bf9c-b828-44d3-bdb6-f91b10668288,47,Other,Standard,7.92,23,South America,TV,13.99,0,Crypto,1,0.33,Sci-Fi,29,-0.03019079073163519,-0.46461490183047405,0.5619478350616498,0.5619478350616498,0.0017416714949317741,0.11943795541621854,0.28877107116476564,0.2,LOW,OTT
0aac0e54-7d40-4cf2-abe4-45f3ff73f5ff,49,Female,Basic,5.26,33,South America,Mobile,8.99,1,Crypto,3,0.15,Documentary,31,0.03817236209040986,0.7697726729581181,0.7780305223530586,0.7780305223530586,0.0049445204257307935,0.2303220420869728,0.013745439764385164,99.9,HIGH,OTT
e2a75072-5f48-47ed-a533-eb1b0301aad9,39,Female,Basic,10.97,10,Oceania,Mobile,8.99,0,PayPal,1,1.0,Comedy,21,0.09025280267561368,0.24062831318498362,0.4018193035831813,0.4018193035831813,0.008359333972703269,0.33815871800404346,0.2780495220346581,0.4,LOW,OTT
25db8257-f409-4acd-81f8-99629fbf15a0,32,Female,Premium,40.94,7,South America,Desktop,17.99,0,Crypto,1,5.12,Action,14,-0.30778773886497146,-0.06769626266930837,0.36139894082979696,0.36139894082979696,0.004678599994207963,0.5871371384659395,0.09206981252988508,0.1,LOW,OTT
